year,month,자치구코드,시간대구분,male_pop,female_pop
2020,2,11305,9,132577.96466896552,163459.60377931036
2020,2,11305,10,130420.83431724137,161154.03564827587
2020,2,11305,11,129177.85591724138,160070.8397275862
2020,2,11305,12,128508.71445862069,159134.4265
2020,2,11305,13,127873.7747413793,158389.8247275862
2020,2,11305,14,128001.11946551723,158184.74256551726
2020,2,11305,15,128498.50062413793,158861.93017586207
2020,2,11305,16,129798.1495,160212.24491724136
2020,2,11305,17,132463.3565448276,161617.65931724137
2020,2,11305,18,136822.9892137931,164970.423562069
2020,2,11305,19,142439.83368965518,169449.97731034484
2020,2,11305,20,145720.6223862069,172070.3220137931
2020,2,11305,21,148241.81241724137,174593.23902068965
2020,2,11305,22,150902.6395551724,177539.27130344827
2020,2,11305,23,154432.67999310346,180701.9372862069
2020,2,11320,0,140899.35588965515,160864.80294827587
2020,2,11320,1,141536.705737931,161231.34846206897
2020,2,11320,2,141951.89430689655,161394.1415172414
2020,2,11320,3,142346.52228965517,161624.15782068967
2020,2,11320,4,142173.4358137931,161232.4048137931
2020,2,11320,5,141676.4583275862,161273.66760344827
2020,2,11320,6,139537.4799827586,160784.98579310346
2020,2,11320,7,136161.7230724138,160437.1082965517
2020,2,11320,8,129189.39845517243,154420.57218275862
2020,2,11320,9,125613.35219310345,149537.34653103448
2020,2,11320,10,123680.46138965516,147320.61964827587
2020,2,11320,11,122323.07793448276,145742.2528413793
2020,2,11320,12,121246.18206551723,144506.8564586207
2020,2,11320,13,120369.21621034482,143218.2578137931
2020,2,11320,14,120202.86214137932,142633.24792068967
2020,2,11320,15,121013.68263793102,143409.21559655172
2020,2,11320,16,122119.45695172415,144573.7156586207
2020,2,11320,17,124375.68709310345,146474.99136551723
2020,2,11320,18,128152.80692413793,149824.5602137931
2020,2,11320,19,132464.5924413793,153343.0227896552
2020,2,11320,20,135306.80498965518,155869.17142068964
2020,2,11320,21,137486.2317413793,158065.5195758621
2020,2,11320,22,140079.46593448275,160575.97752068966
2020,2,11320,23,140065.25776551722,160194.2684689655
2020,2,11350,0,267652.07131034485,304946.3549344827
2020,2,11350,1,268044.0344206897,305160.0735793103
2020,2,11350,2,268328.7092827586,305278.81231034483
2020,2,11350,3,268484.87973103445,305295.88909655175
2020,2,11350,4,268163.9727344828,304860.8251310345
2020,2,11350,5,266808.0231551724,304358.78560689656
2020,2,11350,6,261312.15304827588,302648.6919310345
2020,2,11350,7,252681.67944482758,299142.8910482759
2020,2,11350,8,241009.39459310344,288808.4856482759
2020,2,11350,9,235394.7472758621,283300.11681724136
2020,2,11350,10,231807.17206896553,280264.00082413794
2020,2,11350,11,228792.1595689655,277333.1875206897
2020,2,11350,12,227214.71529999998,275350.99322068965
2020,2,11350,13,226857.4359137931,274417.02284482756
2020,2,11350,14,226743.4499448276,274044.69727586204
2020,2,11350,15,227591.6480758621,274637.54970344825
2020,2,11350,16,229608.41505517243,276194.90636206896
2020,2,11350,17,233335.67707586207,279058.65900344827
2020,2,11350,18,241501.14188965515,285138.2825413793
2020,2,11350,19,250160.88865862068,291652.06815517246
2020,2,11350,20,255441.80802068964,295367.3481551724
2020,2,11350,21,259802.49173448276,298684.0192758621
2020,2,11350,22,262298.0350517241,300444.10122413794
2020,2,11350,23,266437.2929206896,304287.6951551724
2020,2,11380,0,229124.5267448276,268215.0736965517
2020,2,11380,1,229989.92636551725,268709.5893551724
2020,2,11380,2,230528.18902758622,268991.8777724138
2020,2,11380,3,230827.5819103448,269096.0059793103
2020,2,11380,4,230376.8488551724,268337.3125413793
2020,2,11380,5,228668.1721862069,267620.6414068966
2020,2,11380,6,224109.31401034482,265554.5699758621
2020,2,11380,7,215910.04677586205,261627.02957931036
2020,2,11380,8,201910.61807241378,247708.90757931033
2020,2,11380,9,193858.43275172415,238324.38486551723
2020,2,11380,10,189434.5780413793,233906.6859448276
2020,2,11380,11,186224.31133103446,230391.5432551724
2020,2,11380,12,183980.9168310345,227930.16123103446
2020,2,11380,13,182542.8780275862,226122.47819310345
2020,2,11380,14,181964.69460689655,225787.5268137931
2020,2,11380,15,182696.0669586207,227047.78510689654
2020,2,11380,16,184700.19177931032,229285.3342241379
2020,2,11380,17,188950.65594827587,232919.6906
2020,2,11380,18,198298.6588413793,240936.41188275864
2020,2,11380,19,206921.08021379312,248408.94052413793
2020,2,11380,20,212522.3828172414,253104.84626206898
2020,2,11380,21,216947.5540965517,257495.46048965518
2020,2,11380,22,221526.13353793102,261971.83653793106
2020,2,11380,23,227746.93161724138,267266.3113206897
2020,2,11410,0,166379.4894448276,194025.44705172413
2020,2,11410,1,166256.4657275862,193918.92359655173
2020,2,11410,2,166131.99787931034,194045.82030689655
2020,2,11410,3,166109.9199551724,194138.7433172414
2020,2,11410,4,166267.45395172414,194493.40428965515
2020,2,11410,5,166394.69274827588,195019.90562068968
